fips,econ_state,county,pctemp_agriculture,pctemp_mining,pctemp_construction,pctemp_manufacturing,pctemp_trade,pctemp_trans,pctemp_information,pctemp_fire,pctemp_services,pctemp_government,num_civ_employed
0,US,United States,1.259202071,0.51272268,6.592261663,10.10800771,13.74533368,5.363914233,2.011223234,6.555840064,49.24412879,4.60736588,154842185
1000,AL,Alabama,0.993189611,0.398210342,6.604989835,14.33256857,14.08373479,5.454652081,1.519607282,5.523166001,45.67804465,5.411836841,2097384
1001,AL,Autauga,0.517902292,0.35478346,6.072098524,12.95163527,12.44596689,6.797977327,1.362042248,5.978305195,44.08286437,9.436424435,24522
1003,AL,Baldwin,0.952771556,0.257647937,8.585460243,9.249035135,16.47790012,5.003628104,1.525906763,7.520164895,45.20301606,5.224469193,95091
1005,AL,Barbour,5.717342209,0,6.810887912,23.04766433,12.81350291,6.632592417,0.606204683,3.720432664,33.63841674,7.012956139,8413
1007,AL,Bibb,1.967330392,1.895791105,9.848575176,16.89519494,12.90091809,5.723142959,1.263860737,5.341600095,39.02468105,5.138905449,8387
1009,AL,Blount,1.446365835,0.634210887,9.718483369,17.15563261,14.82410914,6.880503719,0.857781631,6.063786102,37.8792718,4.539854907,21917
1011,AL,Bullock,4.908543644,0,5.140078722,36.25839315,5.556841862,5.556841862,0.463070155,3.056263024,28.57142857,10.48853901,4319
1013,AL,Butler,2.496847415,0.075662043,3.94703657,25.01891551,12.66078184,4.943253468,1.336696091,3.404791929,41.18537201,4.930643127,7930
1015,AL,Calhoun,1.058543511,0.346584266,5.687322532,17.74260899,15.3081677,4.518122599,1.448972774,4.288458326,42.43360615,7.167613162,47896
1017,AL,Chambers,1.250252067,0.188209989,4.288499025,31.44451166,11.47408752,3.703703704,1.962761309,3.401223365,37.51428379,4.772467567,14877
1019,AL,Cherokee,3.436873748,0,7.575150301,24.31863727,11.07214429,6.813627255,0.921843687,2.885771543,37.99599198,4.97995992,9980
1021,AL,Chilton,1.586214767,0.901517745,14.49275362,14.84080794,16.44984594,6.978203812,0.770284149,7.006732854,32.28917038,4.684468789,17526
1023,AL,Choctaw,6.086748143,3.426791277,8.698777858,15.86388689,16.60675773,5.128205128,0.647016535,2.516175413,37.04768752,3.977953511,4173
1025,AL,Clarke,2.844272844,0.720720721,8.391248391,25.31531532,12.80566281,6.396396396,0.656370656,4.208494209,34.68468468,3.976833977,7770
1027,AL,Clay,2.894879682,0,6.260177311,29.92581871,14.5648634,4.070924552,1.302695857,4.070924552,32.56739642,4.342319522,5527
1029,AL,Cleburne,4.310495882,0,12.5284738,21.42982302,13.87769406,4.573330997,0.578237253,3.942526722,33.88820746,4.871210794,5707
1031,AL,Coffee,2.962523394,0.406262838,5.267722646,11.9505181,12.69913726,8.700415392,1.15031725,3.761354818,43.56598348,9.535764824,21907
1033,AL,Colbert,0.994218641,0.183952348,7.152242467,19.44639103,14.91327961,6.21058164,1.182550806,4.095129643,42.04625088,3.775402943,22832
1035,AL,Conecuh,5.245746692,0.448960303,5.552930057,18.50189036,19.58884688,8.648393195,1.819470699,5.741965974,26.65406427,7.797731569,4232
1037,AL,Coosa,0.309376487,0.832936697,10.39980961,21.63255593,12.04188482,7.425035697,0.809138506,5.235602094,36.64921466,4.664445502,4202
1039,AL,Covington,3.488058292,2.516529483,7.461880988,15.45675347,13.22358656,9.094589124,1.106463365,3.434084469,39.32667656,4.891377682,14822
1041,AL,Crenshaw,5.04587156,0.476358504,7.727593507,18.52505293,16.44318984,5.504587156,0.829216655,4.128440367,33.76852505,7.551164432,5668
1043,AL,Cullman,1.861049433,0.169451911,10.18756574,17.06205446,16.40177632,6.480074793,0.671964474,3.920766624,40.24190721,3.003389038,34228
1045,AL,Dale,1.656107591,0.39457597,7.019006335,10.8702901,19.02856508,10.67022341,0.527953762,3.184394798,39.01856174,7.630321218,17994
1047,AL,Dallas,1.526451523,0.216073047,5.827002161,25.94967589,12.63678818,5.6666899,0.752770614,3.770823169,37.72217188,5.931553635,14347
1049,AL,DeKalb,2.675528864,0.03373933,6.933432302,27.60551975,13.25955667,6.75123992,1.157259017,3.829413948,33.99574884,3.758561355,29639
1051,AL,Elmore,0.944997074,0.298420129,6.667641896,11.47162083,14.11351668,4.663545933,1.357519017,5.204798128,43.3323581,11.94558221,34180
1053,AL,Escambia,1.775379321,0.375410605,7.47692789,16.19740341,15.2588769,5.373064289,0.524010637,3.496011262,40.77897701,8.743938683,12786
1055,AL,Etowah,0.436107855,0.077373974,5.974208675,18.98241501,14.56506448,4.764361079,1.538100821,4.196951934,44.28135991,5.184056272,42650
1057,AL,Fayette,1.704276472,1.136184314,4.623638946,24.71200884,17.4530535,6.454158119,1.562253432,3.187628215,36.01073063,3.15606754,6337
1059,AL,Franklin,1.783489097,0.210280374,8.769470405,31.45638629,11.25389408,3.792834891,2.897196262,3.232087227,33.13084112,3.473520249,12840
1061,AL,Geneva,3.856615504,0.592578201,8.733242666,15.74703711,15.33903245,8.616669905,0.786866136,3.74975714,37.05070915,5.527491743,10294
1063,AL,Greene,2.879799666,0,8.388981636,29.29883139,7.303839733,2.170283806,0.751252087,7.262103506,31.71953255,10.22537563,2396
1065,AL,Hale,4.052287582,0.149393091,6.666666667,18.50606909,14.08029879,4.089635854,0.074696545,2.931839402,46.16246499,3.286647993,5355
1067,AL,Henry,4.624277457,0.231213873,3.973988439,14.52312139,16.84971098,10.14450867,1.517341041,3.612716763,42.71676301,1.806358382,6920
1069,AL,Houston,1.417496732,0.04732501,5.708297652,9.223869834,18.2449182,7.779330238,1.372425294,3.923468698,47.73966737,4.543200974,44374
1071,AL,Jackson,1.238207547,0.103183962,7.999213837,28.23801101,12.42629717,5.046187107,0.70754717,3.400157233,37.19044811,3.650746855,20352
1073,AL,Jefferson,0.149511138,0.456402421,4.987311226,9.413627809,13.680597,5.446336649,2.192502148,8.198849813,51.3833059,4.0915559,304994
1075,AL,Lamar,2.631578947,0.839054157,7.151029748,24.29443173,9.801678108,5.8733791,1.029748284,4.996186118,36.95652174,6.426392067,5244
1077,AL,Lauderdale,0.766996798,0.091841041,6.763968526,13.94494502,16.40727778,6.80120138,1.097128106,4.229652245,46.24816938,3.648819719,40287
1079,AL,Lawrence,1.92044998,0.104459622,7.834471675,24.94977903,13.40297308,7.617517075,0.948171957,3.91321816,35.97428686,3.334672559,12445
1081,AL,Lee,0.333021265,0.184566002,5.389862244,13.2553163,12.12384646,4.214257055,1.47117828,7.252908921,52.02353885,3.751504614,74770
1083,AL,Limestone,0.886200938,0.098741052,8.29671686,18.48185633,13.96445322,4.532214268,1.283633671,3.32016786,42.50555418,6.630461614,40510
1085,AL,Lowndes,4.606413994,0.787172012,6.588921283,22.56559767,14.69387755,6.12244898,0.204081633,2.303206997,36.85131195,5.27696793,3430
1087,AL,Macon,1.203284258,0.835220838,3.553227633,14.31200453,11.76387316,4.841449604,0.36806342,2.236693092,54.5583239,6.32785957,7064
1089,AL,Madison,0.561302357,0.067831101,4.93188627,11.1062122,12.51031598,3.254762309,1.968797694,3.735232604,52.79407608,9.069583404,176910
1091,AL,Marengo,6.299793449,0.059014459,5.591619947,15.2257303,10.96193567,6.845677191,1.858955444,4.116258483,41.44290351,7.598111537,6778
1093,AL,Marion,1.72981183,0.852248755,7.442409923,21.82938149,12.78373133,6.539532529,0.067504852,5.830731584,37.40612607,5.518521644,11851
1095,AL,Marshall,1.913607022,0.290868267,9.289924221,22.81274717,13.47434491,5.330033424,1.671216799,3.727706478,38.00168397,3.487867732,39193
1097,AL,Mobile,0.512838144,0.470435884,7.391745311,12.34077665,14.82130885,5.971842607,1.287538893,5.179951753,48.25090678,3.772655126,174519
1099,AL,Monroe,3.113809746,0.498209559,6.196481395,18.35590845,18.13794177,5.418028958,1.245523899,2.81799782,39.17172661,5.044371789,6423
1101,AL,Montgomery,0.316790908,0.011879659,4.067793254,11.36784374,12.99436706,4.428142912,1.346361359,5.944779385,48.97191451,10.55012721,101013
1103,AL,Morgan,0.549101208,0.040460089,8.344411691,20.54987188,14.34791823,4.092249003,1.337109608,3.905361925,42.74126736,4.092249003,51903
1105,AL,Perry,2.255931544,0,3.150525088,9.334889148,13.96343835,8.790353948,0,0.661221315,55.46479969,6.378840918,2571
1107,AL,Pickens,3.334758444,0,10.00427533,19.4955109,14.90665527,8.080376229,1.068832835,2.208921191,34.47342169,6.427248112,7017
1109,AL,Pike,1.643796455,0.171526587,5.08862207,13.05746141,17.93882218,5.574614065,1.272155517,5.34591195,45.06146369,4.845626072,13992
1111,AL,Randolph,2.647193063,0,7.701962574,26.06115929,11.86672752,5.693747147,1.688726609,5.180282976,34.81287084,4.347329986,8764
1113,AL,Russell,1.122120596,0.088922764,5.640243902,13.48661924,14.52405149,4.124322493,1.681063686,6.686144986,43.92784553,8.718665312,23616
1115,AL,St. Clair,0.270080765,0.805048433,10.65520555,15.86724492,16.32949853,5.70026229,1.485444205,5.058820474,39.43958241,4.388812424,38507
1117,AL,Shelby,0.442722227,0.432426361,6.202791116,7.841705744,14.66786473,6.022145471,2.291298122,10.87711416,47.58374751,3.638184558,106839
1119,AL,Sumter,2.3304591,0.186436728,4.311349336,11.83873223,13.44674901,4.754136565,1.305057096,3.542297833,50.92053134,7.364250757,4291
1121,AL,Talladega,1.209651543,0.555092088,6.750946544,21.39190143,13.70403645,7.296412758,1.132644549,4.431110826,37.70454983,5.823653982,31166
1123,AL,Tallapoosa,1.322838812,0.443151002,9.696408493,20.56352933,10.28507176,5.873404326,0.687876182,4.127257094,42.24485746,4.75560553,15119
1125,AL,Tuscaloosa,0.432382803,0.767612927,6.694993968,14.64870232,12.63838919,4.30140818,1.680421066,4.475428913,51.08309223,3.277568407,93667
1127,AL,Walker,0.798722045,4.243466863,7.544851315,11.90710248,15.46653559,6.426640452,1.323011387,4.349963136,43.88056033,4.059146391,24414
1129,AL,Washington,3.314224292,1.379433895,11.69831602,20.10032247,10.83840917,5.840200645,0.483697599,3.314224292,40.00358295,3.027588678,5582
1131,AL,Wilcox,5.275459099,1.502504174,8.146911519,14.79131886,9.849749583,8.948247079,0.367278798,2.337228715,41.16861436,7.612687813,2995
1133,AL,Winston,1.403508772,0.921052632,9.057017544,19.57236842,17.12719298,10.88815789,1.184210526,2.653508772,34.17763158,3.015350877,9120
2000,AK,Alaska,1.760338611,2.970894892,6.729370223,3.784066664,12.78962775,8.334148039,2.087562613,3.525565453,46.35970487,11.65872089,347774
2010,AK,Aleutian Islands,0,0,0,0,0,0,0,0,0,0,0
2013,AK,Aleutians East,12.79271466,0,2.081526453,47.52818734,3.469210755,4.032957502,0.130095403,1.734605377,16.78230703,11.44839549,2306
2016,AK,Aleutians West,1.331592689,0.44386423,8.224543081,32.55874674,12.95039164,14.59530026,0.626631854,1.331592689,18.82506527,9.112271541,3830
2020,AK,Anchorage,0.366164261,2.267921444,5.277629526,2.388850231,13.78655731,8.657555347,2.385472332,4.241290087,50.39757872,10.23098074,148021
2050,AK,Bethel,0.640717604,1.361524908,4.757328208,1.361524908,11.90132949,10.92423514,1.393560788,1.826045171,47.73346148,18.10027231,6243
2060,AK,Bristol Bay,4.700854701,8.333333333,5.555555556,1.068376068,6.196581197,17.73504274,2.991452992,3.418803419,33.97435897,16.02564103,468
2068,AK,Denali,0,5.437665783,3.912466844,1.591511936,9.018567639,28.44827586,0.862068966,1.061007958,44.42970822,5.238726791,1508
2070,AK,Dillingham,2.955665025,0.197044335,2.857142857,0.049261084,12.51231527,7.339901478,0.935960591,3.251231527,54.97536946,14.92610837,2030
2090,AK,Fairbanks North Star,0.911326804,2.762527999,8.234880759,1.581097106,13.28999956,7.74517985,2.220123853,3.575036234,46.10654838,13.57327946,45538
2100,AK,Haines,2.116850127,0.508044031,9.144792549,3.725656224,11.26164268,3.979678239,1.693480102,4.149026249,52.07451312,11.34631668,1181
2105,AK,Hoonah-Angoon,6.504854369,6.116504854,7.087378641,9.805825243,8.252427185,8.640776699,1.553398058,1.067961165,34.36893204,16.60194175,1030
2110,AK,Juneau ,2.813448517,2.299789867,5.813681999,3.163670325,8.475367733,8.201027317,2.422367499,4.278543077,39.51669391,23.01540976,17132
2122,AK,Kenai Peninsula,3.069447736,5.570040294,7.537331121,3.816070159,12.04471834,6.684048353,1.501145611,2.946985858,47.79568618,9.034526349,25314
2130,AK,Ketchikan Gateway,3.738055087,0.252951096,7.152894885,4.862282181,15.35975267,11.52332771,1.981450253,5.494659921,39.85385048,9.780775717,7116
2150,AK,Kodiak Island,6.766467066,0.134730539,5.149700599,21.12275449,10.08982036,6.19760479,0.628742515,1.422155689,37.3502994,11.13772455,6680
2158,AK,Kusilvak,1.186131387,5.200729927,3.239051095,5.063868613,10.35583942,7.755474453,1.596715329,1.414233577,42.19890511,21.98905109,2192
2164,AK,Lake and Peninsula,5.053598775,3.062787136,3.82848392,6.125574273,5.359877489,8.882082695,0.612557427,1.071975498,42.87901991,23.12404288,653
2170,AK,Matanuska-Susitna,1.384130465,3.346123978,11.86103878,2.418802248,14.15193459,6.938924672,2.382257549,3.078890868,45.60093189,8.836964963,43782
2180,AK,Nome,0.35201733,1.353912808,2.734903872,3.03276469,8.583807203,8.692120228,0.622799892,1.705930138,53.64202545,19.27971839,3693
2185,AK,North Slope,0.314581791,24.64840859,5.255366395,9.437453738,4.348630644,11.15840118,0.14803849,1.073279053,30.73649149,12.87934863,5404
2188,AK,Northwest Arctic,0.610920199,5.727376861,3.550973654,2.710958381,7.789232532,9.774723177,1.183657885,2.290950745,49.86636121,16.49484536,2619
2195,AK,Petersburg,24.68239564,0.665456745,5.323653963,11.37326074,13.67211131,3.992740472,1.330913491,0.907441016,32.06291591,5.989110708,1653
